year,club,lastname,firstname,pos,basesalary,guaranteedcompensation
2011,COL,Ababio,Eddie,D,32604,32604
2013,VAN,Abdallah,Aminu,M,46500,46500
2014,DAL,Acosta,Kellyn,M,55000,79000
2013,DAL,Acosta,Kellyn,M,46500,70500
2007,DC,Addlery,Nicholas,F,36000,36000
2014,VAN,Adekugbe,Samuel,D,50000,55000
2013,VAN,Adekugbe,Samuel,D,46500,51500
2014,POR,Adi,Fanendo,F,580800,593300
2011,PHI,Adu,Freddy,M,475884,594884
2012,PHI,Adu,Freddy,M,400000,519000
2008,LA,Adzemian,Vardan,D,12900,12900
2014,COL,Agbossoumonde,Gale,D,48825,55491.67
2013,TOR,Agbossoumonde,Gale,D,46500,53166.67
2011,RSL,Agorsor,Christopher,F,32604,32604
2013,NE,Agudelo,Juan,F,145000,175000
2012,CHV,Agudelo,Juan,F,70000,100000
2011,NY,Agudelo,Juan,F,55000,85000
2010,NY,Agudelo,Juan,F,40000,70000
2012,KC,Aiyegbusi,Olukorede,D,44100,44100
2011,KC,Aiyegbusi,Olukorede,D,42000,42000
2010,KC,Aiyegbusi,Olukorede,D,40000,40000
2014,DAL,Akindele,Tesho,F,48500,48500
2011,VAN,Akloul,Mouloud,D,150000,150000
2013,NY,Akpan,Andre,F,67595,67595
2010,COL,Akpan,Andre,F,40000,65000
2012,COL,Akpan,Andre,F,57200,57200
2014,NE,Akpan,Andre,F,48500,51333.33
2011,COL,Akpan,Andre,F,48000,48000
2008,LA,Alamo,Charles,GK,12900,12900
2013,SJ,Alas,Jaime,M,90000,91250
2009,NE,Albright,Chris,D,176000,176000
2008,NE,Albright,Chris,D,160000,160000
2007,LA,Albright,Chris,M-D,142500,142500
2011,NY,Albright,Chris,D,100800,104133.33
2010,NY,Albright,Chris,D,84000,84000
2013,PHI,Albright,Chris,D,75000,75000
2012,PHI,Albright,Chris,D,55000,55000
2008,HOU,Alcaraz,Johnny,M,12900,12900
2014,VAN,Alderson,Bryce,M,100000,115000
2013,VAN,Alderson,Bryce,M,65000,80000
2012,VAN,Alderson,Bryce,M,60000,75000
2014,CHI,Alex,,M,123750,133700
2013,CHI,Alex,,M,110000,119950
2012,CHI,Alex,,M,96000,105950
2014,NY,Alexander,Eric,M,115000,128750
2013,NY,Alexander,Eric,M,70867.5,70867.5
2012,POR,Alexander,Eric,M,56925,56925
2011,POR,Alexander,Eric,M,46750,46750
2010,DAL,Alexander,Eric,M,40000,40000
